Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary,Female AP Enrollment,Male AP Enrollment,Total AP Enrollment
1150,FREMONT RE-2,0.01,16,0.568,1318,0.7609999999999999,0.8,0.722,15.575000000000001,0.06666666666666665,90,90.94,40600.0,0,0,0
1160,COTOPAXI RE-3,0.01,16,0.513,187,0.625,0.5,1.0,10.23,0.0,20,19.68,38880.0,0,0,0
1180,ROARING FORK RE-1,0.01,16,0.424,5410,0.8140000000000001,0.883,0.748,15.479999999999999,0.05882352941176472,391,374.46,49967.0,438,372,810
1195,GARFIELD RE-2,0.01,16,0.519,4734,0.871,0.903,0.8420000000000001,17.388,0.03472222222222221,288,279.41,44013.0,124,106,230
1220,GARFIELD 16,0.01,16,0.555,1092,0.785,0.76,0.8,16.4775,0.013513513513513487,74,74.34,46729.0,187,218,405
1330,GILPIN COUNTY RE-1,0.01,16,0.271,402,1.0,1.0,1.0,12.350000000000001,0.05405405405405406,37,35.22,44529.0,13,12,25
1350,EAST GRAND 2,0.01,16,0.327,1188,0.92,0.907,0.9329999999999999,13.7425,0.0,94,91.42,47391.0,110,64,174
1360,GUNNISON WATERSHED RE1J,0.01,16,0.262,1975,0.9470000000000001,0.9520000000000001,0.9440000000000001,41.32285714285714,0.01449275362318836,138,131.67,45735.0,60,53,113
1380,HINSDALE COUNTY RE 1,0.01,16,0.385,96,0.909,1.0,0.833,10.09,0.0,12,11.06,45141.0,0,0,0
1390,HUERFANO RE-1,0.01,16,0.772,526,0.955,0.857,1.0,14.719999999999999,0.16216216216216217,37,36.82,36781.0,0,0,0
1400,LA VETA RE-2,0.01,16,0.593,214,0.938,1.0,0.875,10.625,0.13043478260869568,23,20.65,40460.0,0,0,0
1420,JEFFERSON COUNTY R-1,0.01,16,0.326,83422,0.828,0.872,0.787,18.286564417177914,0.09103898754847928,4899,4734.32,55435.0,6762,5441,12203
1430,EADS RE-1,0.01,16,0.381,176,0.9229999999999999,1.0,0.889,11.520000000000001,0.0,19,17.32,36344.0,0,0,0
1440,PLAINVIEW RE-2,0.01,16,0.603,58,1.0,0.0,1.0,7.645,0.0,9,8.25,32273.0,0,0,0
1450,ARRIBA-FLAGLER C-20,0.01,16,0.555,173,0.8,0.833,0.778,11.11,0.0,19,17.82,37737.0,0,0,0
1460,HI-PLAINS R-23,0.01,16,0.522,90,1.0,1.0,1.0,6.14,0.0,17,16.95,35221.0,0,0,0
1480,STRATTON R-4,0.01,16,0.563,190,0.929,0.9,1.0,10.566666666666666,0.052631578947368474,19,18.65,33637.0,0,0,0
1490,BETHUNE R-5,0.01,16,0.7879999999999999,104,0.7140000000000001,0.5,1.0,8.3,0.0,17,13.26,41100.0,0,0,0
1500,BURLINGTON RE-6J,0.01,16,0.578,716,0.75,0.71,0.7929999999999999,14.983333333333334,0.0980392156862745,51,51.12,34505.0,0,0,0
1510,LAKE COUNTY R-1,0.01,16,0.672,931,0.667,0.789,0.529,37.9275,0.050000000000000044,60,58.19,39859.0,0,0,0
1520,DURANGO 9-R,0.01,16,0.332,4895,0.802,0.871,0.738,26.28461538461539,0.0805555555555556,360,354.46,46518.0,324,297,621
1530,BAYFIELD 10 JT-R,0.01,16,0.266,1340,0.831,0.861,0.805,14.583333333333334,0.05208333333333337,96,94.53,46574.0,34,27,61
1540,IGNACIO 11 JT,0.01,16,0.5770000000000001,869,0.754,0.7859999999999999,0.7240000000000001,12.486666666666666,0.18571428571428572,70,69.54,41236.0,17,7,24
1550,POUDRE R-1,0.01,16,0.29,28832,0.8140000000000001,0.8390000000000001,0.7909999999999999,17.301346153846154,0.070299727520436,1835,1738.43,53108.0,2197,1904,4101
1560,THOMPSON R2-J,0.01,16,0.392,15708,0.794,0.8320000000000001,0.7559999999999999,17.345999999999997,0.05190677966101698,944,901.41,49061.0,1078,891,1969
1570,ESTES PARK R-3,0.01,16,0.405,1114,0.924,0.903,0.938,16.435000000000002,0.07058823529411762,85,78.33,47884.0,45,45,90
1580,TRINIDAD 1,0.01,16,0.75,1040,0.862,0.9309999999999999,0.7929999999999999,15.935000000000002,0.5692307692307692,65,65.01,45184.0,0,0,0
