County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,PK-12 Count,Teacher FTE,Pupil/ Teacher FTE Ratio
20,ELBERT,0940,BIG SANDY 100J,7914,SIMLA ELEMENTARY SCHOOL,162,10.9276,14.82
20,ELBERT,0940,BIG SANDY 100J,7918,SIMLA JUNIOR HIGH SCHOOL,71,6.6263,10.71
20,ELBERT,0940,BIG SANDY 100J,7922,SIMLA HIGH SCHOOL,90,8.4698,10.63
20,ELBERT,0950,ELBERT 200,2570,ELBERT ELEMENTARY SCHOOL,88,8.8013,10.00
20,ELBERT,0950,ELBERT 200,2574,ELBERT JUNIOR-SENIOR HIGH SCHOOL,138,11.7823,11.71
20,ELBERT,0960,AGATE 300,0044,AGATE ELEMENTARY SCHOOL,4,2.125,1.88
21,EL PASO,0970,CALHAN RJ-1,1210,CALHAN ELEMENTARY SCHOOL,191,12.6666,15.08
21,EL PASO,0970,CALHAN RJ-1,1215,CALHAN MIDDLE SCHOOL,100,5.111,19.57
21,EL PASO,0970,CALHAN RJ-1,1218,CALHAN HIGH SCHOOL,167,10.3214,16.18
21,EL PASO,0980,HARRISON 2,0369,ATLAS PREPARATORY MIDDLE SCHOOL,523,29.3381,17.83
21,EL PASO,0980,HARRISON 2,0469,ATLAS PREPARATORY HIGH SCHOOL,418,19.5116,21.42
21,EL PASO,0980,HARRISON 2,1000,BRICKER ELEMENTARY SCHOOL,394,26,15.15
21,EL PASO,0980,HARRISON 2,1306,CARMEL MIDDLE SCHOOL,368,29.9293,12.30
21,EL PASO,0980,HARRISON 2,1383,CENTENNIAL ELEMENTARY SCHOOL,526,33.1468,15.87
21,EL PASO,0980,HARRISON 2,3392,GIBERSON ELEMENTARY SCHOOL,384,25.837,14.86
21,EL PASO,0980,HARRISON 2,3522,FOX MEADOW MIDDLE SCHOOL,640,36.4729,17.55
21,EL PASO,0980,HARRISON 2,3806,HARRISON HIGH SCHOOL,995,57.7446,17.23
21,EL PASO,0980,HARRISON 2,3870,CAREER READINESS ACADEMY,78,5,15.60
21,EL PASO,0980,HARRISON 2,4378,JAMES IRWIN CHARTER HIGH SCHOOL,426,26.988,15.78
21,EL PASO,0980,HARRISON 2,4379,JAMES IRWIN CHARTER MIDDLE SCHOOL,446,24.912,17.90
21,EL PASO,0980,HARRISON 2,4380,JAMES IRWIN CHARTER ELEMENTARY SCHOOL,537,23.874,22.49
21,EL PASO,0980,HARRISON 2,5763,MOUNTAIN VISTA HOMESCHOOL ACADEMY,330,6.0681,54.38
21,EL PASO,0980,HARRISON 2,6018,MONTEREY ELEMENTARY SCHOOL,404,25.0815,16.11
21,EL PASO,0980,HARRISON 2,6162,MOUNTAIN VISTA COMMUNITY SCHOOL,621,41.4621,14.98
21,EL PASO,0980,HARRISON 2,6460,OAK CREEK ELEMENTARY SCHOOL,255,19.2554,13.24
21,EL PASO,0980,HARRISON 2,6578,OTERO ELEMENTARY SCHOOL,345,23.9565,14.40
21,EL PASO,0980,HARRISON 2,6686,PANORAMA MIDDLE SCHOOL,538,33.8967,15.87
21,EL PASO,0980,HARRISON 2,6936,PIKES PEAK ELEMENTARY SCHOOL,392,26.8424,14.60
21,EL PASO,0980,HARRISON 2,7611,SAND CREEK INTERNATIONAL ELEMENTARY SCHOOL,485,36,13.47
21,EL PASO,0980,HARRISON 2,7882,SIERRA HIGH SCHOOL,785,53.3532,14.71
21,EL PASO,0980,HARRISON 2,8034,SOARING EAGLES ELEMENTARY SCHOOL,562,28,20.07
21,EL PASO,0980,HARRISON 2,8337,STRATMOOR HILLS ELEMENTARY SCHOOL,233,21.4946,10.84
21,EL PASO,0980,HARRISON 2,8350,STRATTON MEADOWS ELEMENTARY SCHOOL,359,24.9837,14.37
21,EL PASO,0980,HARRISON 2,8923,TURMAN ELEMENTARY SCHOOL,262,18.8751,13.88
21,EL PASO,0980,HARRISON 2,9602,WILDFLOWER ELEMENTARY SCHOOL,465,28,16.61
21,EL PASO,0990,WIDEFIELD 3,3234,FRENCH ELEMENTARY SCHOOL,564,32,17.63
21,EL PASO,0990,WIDEFIELD 3,4346,TALBOTT STEAM INNOVATION SCHOOL,452,27.9333,16.18
21,EL PASO,0990,WIDEFIELD 3,4394,JANITELL JUNIOR HIGH SCHOOL,789,42.2563,18.67
21,EL PASO,0990,WIDEFIELD 3,5033,JAMES MADISON CHARTER ACADEMY SCHOOL,145,12.2309,11.86
21,EL PASO,0990,WIDEFIELD 3,5602,MARTIN LUTHER KING JR ELEMENTARY SCHOOL,708,35.5,19.94
21,EL PASO,0990,WIDEFIELD 3,5841,MESA RIDGE HIGH SCHOOL,1290,68.2334,18.91
21,EL PASO,0990,WIDEFIELD 3,6952,PINELLO ELEMENTARY SCHOOL,356,25.6215,13.89
21,EL PASO,0990,WIDEFIELD 3,8122,VENETUCCI ELEMENTARY SCHOOL,484,31,15.61
21,EL PASO,0990,WIDEFIELD 3,8178,SPROUL JUNIOR HIGH SCHOOL,563,36.5,15.42
21,EL PASO,0990,WIDEFIELD 3,8392,SUNRISE ELEMENTARY SCHOOL,707,33.4278,21.15
21,EL PASO,0990,WIDEFIELD 3,9294,WATSON JUNIOR HIGH SCHOOL,727,43.5,16.71
21,EL PASO,0990,WIDEFIELD 3,9334,WEBSTER ELEMENTARY SCHOOL,646,28,23.07
21,EL PASO,0990,WIDEFIELD 3,9560,DISCOVERY HIGH SCHOOL,72,6,12.00
21,EL PASO,0990,WIDEFIELD 3,9562,WIDEFIELD ELEMENTARY SCHOOL,398,26.4083,15.07
21,EL PASO,0990,WIDEFIELD 3,9566,WIDEFIELD HIGH SCHOOL,1357,69.4105,19.55
21,EL PASO,0990,WIDEFIELD 3,9656,WIDEFIELD DISTRICT 3 PRESCHOOL,437,16.2493,26.89
21,EL PASO,1000,FOUNTAIN 8,0203,WELTE EDUCATION CENTER,122,11.8667,10.28
21,EL PASO,1000,FOUNTAIN 8,1332,CARSON MIDDLE SCHOOL,694,42.9247,16.17
21,EL PASO,1000,FOUNTAIN 8,1334,ABRAMS ELEMENTARY SCHOOL,520,32.1021,16.20
21,EL PASO,1000,FOUNTAIN 8,2037,CONRAD EARLY LEARNING CENTER,179,6,29.83
21,EL PASO,1000,FOUNTAIN 8,3027,EAGLESIDE ELEMENTARY SCHOOL,620,36.5333,16.97
21,EL PASO,1000,FOUNTAIN 8,3102,ARAGON ELEMENTARY SCHOOL,428,29.5,14.51
21,EL PASO,1000,FOUNTAIN 8,3106,FOUNTAIN MIDDLE SCHOOL,974,60.8463,16.01
21,EL PASO,1000,FOUNTAIN 8,3108,MESA ELEMENTARY SCHOOL,509,29.5,17.25
21,EL PASO,1000,FOUNTAIN 8,3110,FOUNTAIN-FORT CARSON HIGH SCHOOL,1874,109.1365,17.17
21,EL PASO,1000,FOUNTAIN 8,4474,JORDAHL ELEMENTARY SCHOOL,535,32.5333,16.44
21,EL PASO,1000,FOUNTAIN 8,6138,MOUNTAINSIDE ELEMENTARY SCHOOL,452,31,14.58
21,EL PASO,1000,FOUNTAIN 8,6338,PATRIOT ELEMENTARY SCHOOL,652,37,17.62
21,EL PASO,1000,FOUNTAIN 8,9610,WEIKEL ELEMENTARY SCHOOL,779,41,19.00
21,EL PASO,1010,COLORADO SPRINGS 11,0269,ACHIEVE ONLINE,246,14.4992,16.97
21,EL PASO,1010,COLORADO SPRINGS 11,0452,AUDUBON ELEMENTARY SCHOOL,392,22.8489,17.16
21,EL PASO,1010,COLORADO SPRINGS 11,0517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,301,24.5509,12.26
21,EL PASO,1010,COLORADO SPRINGS 11,0871,THE BIJOU SCHOOL,131,7.496,17.48
21,EL PASO,1010,COLORADO SPRINGS 11,1032,BRISTOL ELEMENTARY SCHOOL,252,16.1481,15.61
21,EL PASO,1010,COLORADO SPRINGS 11,1126,BUENA VISTA ELEMENTARY SCHOOL,212,14.2458,14.88
21,EL PASO,1010,COLORADO SPRINGS 11,1340,CARVER ELEMENTARY SCHOOL,324,22.1481,14.63
21,EL PASO,1010,COLORADO SPRINGS 11,1613,CHIPETA ELEMENTARY SCHOOL,481,25.8992,18.57
21,EL PASO,1010,COLORADO SPRINGS 11,1616,CIVA CHARTER ACADEMY,158,14.2827,11.06
21,EL PASO,1010,COLORADO SPRINGS 11,1625,MCAULIFFE ELEMENTARY,537,31.896,16.84
