County Code,County Name,District Code,District Name,School  Code,School Name,PK-12 Student Enrollment,Teacher FTE,Pupil/Teacher Ratio,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1870,CORONADO HIGH SCHOOL,1579,79.40,19.89,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1885,COMMUNITY PREP CHARTER SCHOOL,264,11.15,23.68,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,2202,DOHERTY HIGH SCHOOL,2094,93.00,22.52,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,2400,EARLY COLLEGE HIGH SCHOOL,150,14.00,10.72,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,2510,EDISON ELEMENTARY SCHOOL,293,22.40,13.08,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,2528,NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,223,18.95,11.77,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3175,FREEDOM ELEMENTARY SCHOOL,518,27.90,18.57,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3218,FREMONT ELEMENTARY SCHOOL,445,27.70,16.07,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3360,GALILEO SCHOOL OF MATH AND SCIENCE,517,29.80,17.35,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3470,GLOBE CHARTER SCHOOL,192,17.34,11.07,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3592,GRANT ELEMENTARY SCHOOL,448,29.30,15.29,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3890,HUNT ELEMENTARY SCHOOL,394,26.40,14.93,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,3920,HENRY ELEMENTARY SCHOOL,381,20.60,18.50,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4070,HOLMES MIDDLE SCHOOL,729,39.23,18.58,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4090,MANN MIDDLE SCHOOL,464,30.49,15.22,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4138,HOWBERT ELEMENTARY SCHOOL,305,18.65,16.36,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4358,JACKSON ELEMENTARY SCHOOL,484,28.00,17.29,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4424,JENKINS MIDDLE SCHOOL,973,54.25,17.94,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,4530,KELLER ELEMENTARY SCHOOL,474,26.60,17.82,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5146,LIFE SKILLS CENTER OF COLORADO SPRINGS,286,11.15,25.65,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5404,MADISON ELEMENTARY SCHOOL,408,23.80,17.14,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5576,TWAIN ELEMENTARY SCHOOL,452,29.45,15.35,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5604,KING ELEMENTARY SCHOOL,382,22.30,17.13,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5610,MARTINEZ ELEMENTARY SCHOOL,572,33.75,16.95,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5878,MIDLAND ELEMENTARY SCHOOL,189,15.30,12.36,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5948,MITCHELL HIGH SCHOOL,1333,76.84,17.35,,,,,,,,,,,,,
