Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
0050,BENNETT 29J,02,Biology,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,03,Calculus AB,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,04,Calculus BC,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,05,Chemistry,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,10,English Language and Composition,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,13,European History,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,14,French Language,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,15,French Literature,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,16,German Language,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,18,Government and Politics: United States,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,23,Physics B,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,26,Psychology,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,27,Spanish Language,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,29,Statistics,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,30,Studio Art: 2-D Design,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,33,U.S. History,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,34,World History,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0050,BENNETT 29J,TOTAL,DISTRICT TOTALS,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,01,Art History,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,02,Biology,0,0,0,7,76,0,0,43,40,83
0060,STRASBURG 31J,03,Calculus AB,0,0,0,3,12,0,0,8,7,15
0060,STRASBURG 31J,04,Calculus BC,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,05,Chemistry,0,0,0,3,42,0,1,24,22,46
0060,STRASBURG 31J,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,10,English Language and Composition,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,13,European History,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,14,French Language,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,15,French Literature,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,16,German Language,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,18,Government and Politics: United States,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,23,Physics B,0,0,0,2,7,0,1,6,4,10
0060,STRASBURG 31J,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,26,Psychology,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,27,Spanish Language,0,5,0,12,100,0,0,59,58,117
0060,STRASBURG 31J,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,29,Statistics,0,0,0,0,4,0,1,3,2,5
0060,STRASBURG 31J,30,Studio Art: 2-D Design,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,33,U.S. History,0,3,0,10,70,0,0,41,42,83
0060,STRASBURG 31J,34,World History,0,0,0,7,76,0,1,42,42,84
0060,STRASBURG 31J,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0060,STRASBURG 31J,TOTAL,DISTRICT TOTALS,0,8,0,44,387,0,4,226,217,443
0070,WESTMINSTER 50,01,Art History,0,0,0,0,0,0,0,0,0,0
0070,WESTMINSTER 50,02,Biology,0,0,0,0,0,0,0,0,0,0
