COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
63,YUMA,3210,WRAY RD-2,640,275,87,277,362,43.00%,13.60%,56.60%
63,YUMA,3220,IDALIA RJ-3,191,79,36,76,115,41.40%,18.80%,60.20%
63,YUMA,3230,LIBERTY J-4,63,9,10,44,19,14.30%,15.90%,30.20%
63,YUMA,TOTAL,,"1,668",777,218,672,995,46.60%,13.10%,59.70%
90,COLORADO BOCS,9030,MOUNTAIN BOCES,160,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9035,CENTENNIAL BOCES,172,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9050,SAN JUAN BOCES,29,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,397,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,"2,395",0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,TOTAL,,"3,153",0,0,0,0,0.00%,0.00%,0.00%
98,NONE,8001,CHARTER SCHOOL INSTITUTE,"14,887","4,939","1,408","8,455","6,347",33.20%,9.50%,42.60%
98,NONE,9000,Colorado School for the Deaf and Blind,197,117,17,49,134,59.40%,8.60%,68.00%
98,NONE,TOTAL,,"15,084","5,056","1,425","8,504","6,481",33.50%,9.40%,43.00%
999,No County,9999,COLORADO DETENTION CENTER TOTAL,181,12,2,107,14,6.60%,1.10%,7.70%
999,No County,TOTAL,,181,12,2,107,14,6.60%,1.10%,7.70%
STATE,,TOTAL,,"866,889","300,879","64,532","495,382","365,411",34.70%,7.40%,42.20%
